roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,timestamp,datetime
0,0,0,0,0,0,0,0,0,1780714775.3039846,2026-06-05T23:59:35.303985
0,0,0,0,0,0,0,0,0,1780714775.3233626,2026-06-05T23:59:35.323363
0,0,0,0,0,0,0,0,0,1780714775.3433893,2026-06-05T23:59:35.343389
0,0,0,0,0,0,0,0,0,1780714775.3629076,2026-06-05T23:59:35.362908
0,0,0,0,0,0,0,0,0,1780714775.3856568,2026-06-05T23:59:35.385657
0,0,0,0,0,0,0,0,0,1780714775.4057758,2026-06-05T23:59:35.405776
0,0,0,0,0,0,0,0,0,1780714775.4226506,2026-06-05T23:59:35.422651
0,0,0,0,0,0,0,0,0,1780714775.4435933,2026-06-05T23:59:35.443593
0,0,0,0,0,0,0,0,0,1780714775.4636257,2026-06-05T23:59:35.463626
0,0,0,0,0,0,0,0,0,1780714775.482598,2026-06-05T23:59:35.482598
0,0,0,0,0,0,0,0,0,1780714775.5025167,2026-06-05T23:59:35.502517
0,0,0,0,0,0,0,0,0,1780714775.5244853,2026-06-05T23:59:35.524485
0,0,0,0,0,0,0,0,0,1780714775.5441663,2026-06-05T23:59:35.544166
0,0,0,0,0,0,0,0,0,1780714775.5903065,2026-06-05T23:59:35.590307
0,0,0,0,0,0,0,0,0,1780714775.6037595,2026-06-05T23:59:35.603760
0,0,0,0,0,0,0,0,0,1780714775.6287875,2026-06-05T23:59:35.628788
0,0,0,0,0,0,0,0,0,1780714775.6625206,2026-06-05T23:59:35.662521
0,0,0,0,0,0,0,0,0,1780714775.6740382,2026-06-05T23:59:35.674038
0,0,0,0,0,0,0,0,0,1780714775.6851983,2026-06-05T23:59:35.685198
0,0,0,0,0,0,0,0,0,1780714775.7041106,2026-06-05T23:59:35.704111
0,0,0,0,0,0,0,0,0,1780714775.7235007,2026-06-05T23:59:35.723501
0,0,0,0,0,0,0,0,0,1780714775.7428308,2026-06-05T23:59:35.742831
0,0,0,0,0,0,0,0,0,1780714775.763446,2026-06-05T23:59:35.763446
0,0,0,0,0,0,0,0,0,1780714775.7835064,2026-06-05T23:59:35.783506
0,0,0,0,0,0,0,0,0,1780714775.8025143,2026-06-05T23:59:35.802514
0,0,0,0,0,0,0,0,0,1780714775.8240216,2026-06-05T23:59:35.824022
0,0,0,0,0,0,0,0,0,1780714775.8444881,2026-06-05T23:59:35.844488
0,0,0,0,0,0,0,0,0,1780714775.8835084,2026-06-05T23:59:35.883508
0,0,0,0,0,0,0,0,0,1780714775.9026344,2026-06-05T23:59:35.902634
0,0,0,0,0,0,0,0,0,1780714775.9246483,2026-06-05T23:59:35.924648
0,0,0,0,0,0,0,0,0,1780714775.9474816,2026-06-05T23:59:35.947482
0,0,0,0,0,0,0,0,0,1780714775.964469,2026-06-05T23:59:35.964469
0,0,0,0,0,0,0,0,0,1780714775.9835966,2026-06-05T23:59:35.983597
0,0,0,0,0,0,0,0,0,1780714776.0026283,2026-06-05T23:59:36.002628
0,0,0,0,0,0,0,0,0,1780714776.026288,2026-06-05T23:59:36.026288
0,0,0,0,0,0,0,0,0,1780714776.0444624,2026-06-05T23:59:36.044462
0,0,0,0,0,0,0,0,0,1780714776.084457,2026-06-05T23:59:36.084457
0,0,0,0,0,0,0,0,0,1780714776.1074724,2026-06-05T23:59:36.107472
0,0,0,0,0,0,0,0,0,1780714776.1244953,2026-06-05T23:59:36.124495
0,0,0,0,0,0,0,0,0,1780714776.1434603,2026-06-05T23:59:36.143460
0,0,0,0,0,0,0,0,0,1780714776.162652,2026-06-05T23:59:36.162652
0,0,0,0,0,0,0,0,0,1780714776.1856215,2026-06-05T23:59:36.185622
0,0,0,0,0,0,0,0,0,1780714776.2048085,2026-06-05T23:59:36.204808
0,0,0,0,0,0,0,0,0,1780714776.226464,2026-06-05T23:59:36.226464
0,0,0,0,0,0,0,0,0,1780714776.2424896,2026-06-05T23:59:36.242490
0,0,0,0,0,0,0,0,0,1780714776.2625625,2026-06-05T23:59:36.262563
0,0,0,0,0,0,0,0,0,1780714776.2856417,2026-06-05T23:59:36.285642
0,0,0,0,0,0,0,0,0,1780714776.3044777,2026-06-05T23:59:36.304478
0,0,0,0,0,0,0,0,0,1780714776.3246615,2026-06-05T23:59:36.324661
0,0,0,0,0,0,0,0,0,1780714776.3464797,2026-06-05T23:59:36.346480
0,0,0,0,0,0,0,0,0,1780714776.3834617,2026-06-05T23:59:36.383462
0,0,0,0,0,0,0,0,0,1780714776.4028404,2026-06-05T23:59:36.402840
0,0,0,0,0,0,0,0,0,1780714776.423515,2026-06-05T23:59:36.423515
0,0,0,0,0,0,0,0,0,1780714776.4433897,2026-06-05T23:59:36.443390
0,0,0,0,0,0,0,0,0,1780714776.4626558,2026-06-05T23:59:36.462656
0,0,0,0,0,0,0,0,0,1780714776.4844658,2026-06-05T23:59:36.484466
0,0,0,0,0,0,0,0,0,1780714776.5041852,2026-06-05T23:59:36.504185
0,0,0,0,0,0,0,0,0,1780714776.524493,2026-06-05T23:59:36.524493
0,0,0,0,0,0,0,0,0,1780714776.5464485,2026-06-05T23:59:36.546448
0,0,0,0,0,0,0,0,0,1780714776.5635042,2026-06-05T23:59:36.563504
0,0,0,0,0,0,0,0,0,1780714776.5835826,2026-06-05T23:59:36.583583
0,0,0,0,0,0,0,0,0,1780714776.6025465,2026-06-05T23:59:36.602546
0,0,0,0,0,0,0,0,0,1780714776.6222403,2026-06-05T23:59:36.622240
0,0,0,0,0,0,0,0,0,1780714776.643441,2026-06-05T23:59:36.643441
0,0,0,0,0,0,0,0,0,1780714776.6625042,2026-06-05T23:59:36.662504
0,0,0,0,0,0,0,0,0,1780714776.687051,2026-06-05T23:59:36.687051
0,0,0,0,0,0,0,0,0,1780714776.70447,2026-06-05T23:59:36.704470
0,0,0,0,0,0,0,0,0,1780714776.7227767,2026-06-05T23:59:36.722777
0,0,0,0,0,0,0,0,0,1780714776.7430317,2026-06-05T23:59:36.743032
0,0,0,0,0,0,0,0,0,1780714776.7634568,2026-06-05T23:59:36.763457
0,0,0,0,0,0,0,0,0,1780714776.7834466,2026-06-05T23:59:36.783447
0,0,0,0,0,0,0,0,0,1780714776.8025706,2026-06-05T23:59:36.802571
0,0,0,0,0,0,0,0,0,1780714776.823472,2026-06-05T23:59:36.823472
0,0,0,0,0,0,0,0,0,1780714776.8464582,2026-06-05T23:59:36.846458
0,0,0,0,0,0,0,0,0,1780714776.863735,2026-06-05T23:59:36.863735
0,0,0,0,0,0,0,0,0,1780714776.884503,2026-06-05T23:59:36.884503
0,0,0,0,0,0,0,0,0,1780714776.9026167,2026-06-05T23:59:36.902617
0,0,0,0,0,0,0,0,0,1780714776.9264922,2026-06-05T23:59:36.926492
0,0,0,0,0,0,0,0,0,1780714776.9444509,2026-06-05T23:59:36.944451
0,0,0,0,0,0,0,0,0,1780714776.983455,2026-06-05T23:59:36.983455
0,0,0,0,0,0,0,0,0,1780714777.0040023,2026-06-05T23:59:37.004002
0,0,0,0,0,0,0,0,0,1780714777.024404,2026-06-05T23:59:37.024404
0,0,0,0,0,0,0,0,0,1780714777.044467,2026-06-05T23:59:37.044467
0,0,0,0,0,0,0,0,0,1780714777.0860555,2026-06-05T23:59:37.086056
0,0,0,0,0,0,0,0,0,1780714777.1062741,2026-06-05T23:59:37.106274
0,0,0,0,0,0,0,0,0,1780714777.1234663,2026-06-05T23:59:37.123466
0,0,0,0,0,0,0,0,0,1780714777.1435094,2026-06-05T23:59:37.143509
0,0,0,0,0,0,0,0,0,1780714777.1634924,2026-06-05T23:59:37.163492
0,0,0,0,0,0,0,0,0,1780714777.1874628,2026-06-05T23:59:37.187463
0,0,0,0,0,0,0,0,0,1780714777.2044008,2026-06-05T23:59:37.204401
0,0,0,0,0,0,0,0,0,1780714777.2265158,2026-06-05T23:59:37.226516
0,0,0,0,0,0,0,0,0,1780714777.244184,2026-06-05T23:59:37.244184
0,0,0,0,0,0,0,0,0,1780714777.2866542,2026-06-05T23:59:37.286654
0,0,0,0,0,0,0,0,0,1780714777.3040888,2026-06-05T23:59:37.304089
0,0,0,0,0,0,0,0,0,1780714777.3244822,2026-06-05T23:59:37.324482
0,0,0,0,0,0,0,0,0,1780714777.3444984,2026-06-05T23:59:37.344498
0,0,0,0,0,0,0,0,0,1780714777.3832312,2026-06-05T23:59:37.383231
0,0,0,0,0,0,0,0,0,1780714777.4033897,2026-06-05T23:59:37.403390
0,0,0,0,0,0,0,0,0,1780714777.4234304,2026-06-05T23:59:37.423430
0,0,0,0,0,0,0,0,0,1780714777.4434958,2026-06-05T23:59:37.443496
0,0,0,0,0,0,0,0,0,1780714777.4634647,2026-06-05T23:59:37.463465
0,0,0,0,0,0,0,0,0,1780714777.4844904,2026-06-05T23:59:37.484490
0,0,0,0,0,0,0,0,0,1780714777.504138,2026-06-05T23:59:37.504138
0,0,0,0,0,0,0,0,0,1780714777.5274906,2026-06-05T23:59:37.527491
0,0,0,0,0,0,0,0,0,1780714777.543419,2026-06-05T23:59:37.543419
0,0,0,0,0,0,0,0,0,1780714777.563747,2026-06-05T23:59:37.563747
0,0,0,0,0,0,0,0,0,1780714777.5885248,2026-06-05T23:59:37.588525
0,0,0,0,0,0,0,0,0,1780714777.6140482,2026-06-05T23:59:37.614048
0,0,0,0,0,0,0,0,0,1780714777.6260772,2026-06-05T23:59:37.626077
0,0,0,0,0,0,0,0,0,1780714777.6550508,2026-06-05T23:59:37.655051
0,0,0,0,0,0,0,0,0,1780714777.6893072,2026-06-05T23:59:37.689307
0,0,0,0,0,0,0,0,0,1780714777.70833,2026-06-05T23:59:37.708330
0,0,0,0,0,0,0,0,0,1780714777.7223647,2026-06-05T23:59:37.722365
0,0,0,0,0,0,0,0,0,1780714777.7444572,2026-06-05T23:59:37.744457
0,0,0,0,0,0,0,0,0,1780714777.7834911,2026-06-05T23:59:37.783491
0,0,0,0,0,0,0,0,0,1780714777.80848,2026-06-05T23:59:37.808480
0,0,0,0,0,0,0,0,0,1780714777.8234909,2026-06-05T23:59:37.823491
0,0,0,0,0,0,0,0,0,1780714777.8464532,2026-06-05T23:59:37.846453
0,0,0,0,0,0,0,0,0,1780714777.8835957,2026-06-05T23:59:37.883596
0,0,0,0,0,0,0,0,0,1780714777.9025743,2026-06-05T23:59:37.902574
0,0,0,0,0,0,0,0,0,1780714777.9241648,2026-06-05T23:59:37.924165
0,0,0,0,0,0,0,0,0,1780714777.9444873,2026-06-05T23:59:37.944487
0,0,0,0,0,0,0,0,0,1780714777.9834588,2026-06-05T23:59:37.983459
0,0,0,0,0,0,0,0,0,1780714778.0041435,2026-06-05T23:59:38.004143
0,0,0,0,0,0,0,0,0,1780714778.02445,2026-06-05T23:59:38.024450
0,0,0,0,0,0,0,0,0,1780714778.0444946,2026-06-05T23:59:38.044495
0,0,0,0,0,0,0,0,0,1780714778.083497,2026-06-05T23:59:38.083497
0,0,0,0,0,0,0,0,0,1780714778.104061,2026-06-05T23:59:38.104061
0,0,0,0,0,0,0,0,0,1780714778.123963,2026-06-05T23:59:38.123963
0,0,0,0,0,0,0,0,0,1780714778.1441677,2026-06-05T23:59:38.144168
0,0,0,0,0,0,0,0,0,1780714778.1825347,2026-06-05T23:59:38.182535
0,0,0,0,0,0,0,0,0,1780714778.2093742,2026-06-05T23:59:38.209374
0,0,0,0,0,0,0,0,0,1780714778.2235441,2026-06-05T23:59:38.223544
0,0,0,0,0,0,0,0,0,1780714778.243469,2026-06-05T23:59:38.243469
0,0,0,0,0,0,0,0,0,1780714778.2634995,2026-06-05T23:59:38.263499
0,0,0,0,0,0,0,0,0,1780714778.2831638,2026-06-05T23:59:38.283164
0,0,0,0,0,0,0,0,0,1780714778.3094146,2026-06-05T23:59:38.309415
0,0,0,0,0,0,0,0,0,1780714778.3234663,2026-06-05T23:59:38.323466
0,0,0,0,0,0,0,0,0,1780714778.3434396,2026-06-05T23:59:38.343440
0,0,0,0,0,0,0,0,0,1780714778.363497,2026-06-05T23:59:38.363497
0,0,0,0,0,0,0,0,0,1780714778.3847902,2026-06-05T23:59:38.384790
0,0,0,0,0,0,0,0,0,1780714778.4092078,2026-06-05T23:59:38.409208
0,0,0,0,0,0,0,0,0,1780714778.4234667,2026-06-05T23:59:38.423467
0,0,0,0,0,0,0,0,0,1780714778.4436295,2026-06-05T23:59:38.443630
0,0,0,0,0,0,0,0,0,1780714778.483502,2026-06-05T23:59:38.483502
0,0,0,0,0,0,0,0,0,1780714778.5026681,2026-06-05T23:59:38.502668
0,0,0,0,0,0,0,0,0,1780714778.5234787,2026-06-05T23:59:38.523479
0,0,0,0,0,0,0,0,0,1780714778.5436132,2026-06-05T23:59:38.543613
0,0,0,0,0,0,0,0,0,1780714778.583954,2026-06-05T23:59:38.583954
0,0,0,0,0,0,0,0,0,1780714778.6061916,2026-06-05T23:59:38.606192
0,0,0,0,0,0,0,0,0,1780714778.6225998,2026-06-05T23:59:38.622600
0,0,0,0,0,0,0,0,0,1780714778.64348,2026-06-05T23:59:38.643480
0,0,0,0,0,0,0,0,0,1780714778.6635077,2026-06-05T23:59:38.663508
0,0,0,0,0,0,0,0,0,1780714778.683625,2026-06-05T23:59:38.683625
0,0,0,0,0,0,0,0,0,1780714778.7025495,2026-06-05T23:59:38.702549
0,0,0,0,0,0,0,0,0,1780714778.7228267,2026-06-05T23:59:38.722827
0,0,0,0,0,0,0,0,0,1780714778.746416,2026-06-05T23:59:38.746416
0,0,0,0,0,0,0,0,0,1780714778.764478,2026-06-05T23:59:38.764478
0,0,0,0,0,0,0,0,0,1780714778.7825823,2026-06-05T23:59:38.782582
0,0,0,0,0,0,0,0,0,1780714778.8025858,2026-06-05T23:59:38.802586
0,0,0,0,0,0,0,0,0,1780714778.8234525,2026-06-05T23:59:38.823452
0,0,0,0,0,0,0,0,0,1780714778.8434906,2026-06-05T23:59:38.843491
0,0,0,0,0,0,0,0,0,1780714778.8834531,2026-06-05T23:59:38.883453
0,0,0,0,0,0,0,0,0,1780714778.9057102,2026-06-05T23:59:38.905710
0,0,0,0,0,0,0,0,0,1780714778.9243598,2026-06-05T23:59:38.924360
0,0,0,0,0,0,0,0,0,1780714778.9434268,2026-06-05T23:59:38.943427
0,0,0,0,0,0,0,0,0,1780714778.9634914,2026-06-05T23:59:38.963491
0,0,0,0,0,0,0,0,0,1780714778.9823754,2026-06-05T23:59:38.982375
0,0,0,0,0,0,0,0,0,1780714779.0069225,2026-06-05T23:59:39.006922
0,0,0,0,0,0,0,0,0,1780714779.0244474,2026-06-05T23:59:39.024447
0,0,0,0,0,0,0,0,0,1780714779.0444508,2026-06-05T23:59:39.044451
0,0,0,0,0,0,0,0,0,1780714779.0644422,2026-06-05T23:59:39.064442
0,0,0,0,0,0,0,0,0,1780714779.085658,2026-06-05T23:59:39.085658
0,0,0,0,0,0,0,0,0,1780714779.1071465,2026-06-05T23:59:39.107147
0,0,0,0,0,0,0,0,0,1780714779.1264164,2026-06-05T23:59:39.126416
0,0,0,0,0,0,0,0,0,1780714779.1464734,2026-06-05T23:59:39.146473
0,0,0,0,0,0,0,0,0,1780714779.1641257,2026-06-05T23:59:39.164126
0,0,0,0,0,0,0,0,0,1780714779.1834173,2026-06-05T23:59:39.183417
0,0,0,0,0,0,0,0,0,1780714779.2025537,2026-06-05T23:59:39.202554
0,0,0,0,0,0,0,0,0,1780714779.2234623,2026-06-05T23:59:39.223462
0,0,0,0,0,0,0,0,0,1780714779.242222,2026-06-05T23:59:39.242222
0,0,0,0,0,0,0,0,0,1780714779.2832103,2026-06-05T23:59:39.283210
0,0,0,0,0,0,0,0,0,1780714779.3025825,2026-06-05T23:59:39.302583
0,0,0,0,0,0,0,0,0,1780714779.3244905,2026-06-05T23:59:39.324491
0,0,0,0,0,0,0,0,0,1780714779.344407,2026-06-05T23:59:39.344407
0,0,0,0,0,0,0,0,0,1780714779.3831093,2026-06-05T23:59:39.383109
0,0,0,0,0,0,0,0,0,1780714779.406296,2026-06-05T23:59:39.406296
0,0,0,0,0,0,0,0,0,1780714779.4264474,2026-06-05T23:59:39.426447
0,0,0,0,0,0,0,0,0,1780714779.4464686,2026-06-05T23:59:39.446469
0,0,0,0,0,0,0,0,0,1780714779.4833612,2026-06-05T23:59:39.483361
0,0,0,0,0,0,0,0,0,1780714779.5048785,2026-06-05T23:59:39.504879
0,0,0,0,0,0,0,0,0,1780714779.5243716,2026-06-05T23:59:39.524372
0,0,0,0,0,0,0,0,0,1780714779.5444815,2026-06-05T23:59:39.544482
0,0,0,0,0,0,0,0,0,1780714779.5957696,2026-06-05T23:59:39.595770
0,0,0,0,0,0,0,0,0,1780714779.6060886,2026-06-05T23:59:39.606089
0,0,0,0,0,0,0,0,0,1780714779.6293929,2026-06-05T23:59:39.629393
0,0,0,0,0,0,0,0,0,1780714779.6589515,2026-06-05T23:59:39.658952
0,0,0,0,0,0,0,0,0,1780714779.692908,2026-06-05T23:59:39.692908
0,0,0,0,0,0,0,0,0,1780714779.7076714,2026-06-05T23:59:39.707671
0,0,0,0,0,0,0,0,0,1780714779.7264895,2026-06-05T23:59:39.726490
0,0,0,0,0,0,0,0,0,1780714779.7444506,2026-06-05T23:59:39.744451
0,0,0,0,0,0,0,0,0,1780714779.7843556,2026-06-05T23:59:39.784356
0,0,0,0,0,0,0,0,0,1780714779.8039265,2026-06-05T23:59:39.803926
0,0,0,0,0,0,0,0,0,1780714779.8244817,2026-06-05T23:59:39.824482
0,0,0,0,0,0,0,0,0,1780714779.8436115,2026-06-05T23:59:39.843611
0,0,0,0,0,0,0,0,0,1780714779.8635764,2026-06-05T23:59:39.863576
0,0,0,0,0,0,0,0,0,1780714779.8855035,2026-06-05T23:59:39.885504
0,0,0,0,0,0,0,0,0,1780714779.9062896,2026-06-05T23:59:39.906290
0,0,0,0,0,0,0,0,0,1780714779.9234896,2026-06-05T23:59:39.923490
0,0,0,0,0,0,0,0,0,1780714779.9434853,2026-06-05T23:59:39.943485
0,0,0,0,0,0,0,0,0,1780714779.962466,2026-06-05T23:59:39.962466
0,0,0,0,0,0,0,0,0,1780714779.9860804,2026-06-05T23:59:39.986080
0,0,0,0,0,0,0,0,0,1780714780.0056808,2026-06-05T23:59:40.005681
0,0,0,0,0,0,0,0,0,1780714780.0229647,2026-06-05T23:59:40.022965
0,0,0,0,0,0,0,0,0,1780714780.0430393,2026-06-05T23:59:40.043039
0,0,0,0,0,0,0,0,0,1780714780.0629225,2026-06-05T23:59:40.062922
0,0,0,0,0,0,0,0,0,1780714780.084128,2026-06-05T23:59:40.084128
0,0,0,0,0,0,0,0,0,1780714780.104919,2026-06-05T23:59:40.104919
