type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.182254
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.198859
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.219774
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.239367
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.262853
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.279729
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.299746
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.319589
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.339762
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.358904
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.381532
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.402787
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.421672
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.442809
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.458827
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.481460
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.498774
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.518724
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.542484
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.565784
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.579483
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.599781
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.624668
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.641693
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.659742
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.682945
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.701700
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.719042
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.739779
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.759787
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.779589
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.807703
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.820782
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.839683
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.862746
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.882808
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.900792
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.922808
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.939918
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.959777
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.979754
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:41.999121
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.019854
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.040834
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.060674
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.080659
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.100775
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.119063
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.139802
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.159876
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.182083
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.202762
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.219863
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.242429
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.260448
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.282708
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.301873
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.319853
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.339179
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.362696
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.385525
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.402801
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.425570
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.442781
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.458700
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.479387
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.499760
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.519625
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.539799
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.559283
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.580275
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.600830
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.620784
